6, 101863565, 3.2889166560521783, 1.9993712291854, 5595350.0652212994, 0.78906705010978073, SimArray(275080764.59223306, 'Msol'), SimArray(4759457618.759564, 'Msol'), SimArray(39187222733.83294, 'Msol')
22, 101863727, 3.2889166560521783, 1.9993712291854, 1538322.3148784374, 0.11455618860183626, SimArray(66073802.46190955, 'Msol'), SimArray(704532567.2742337, 'Msol'), SimArray(7346481662.205237, 'Msol')
4, 101863565, 3.457268367157652, 1.8984746967755104, 5661675.6379832542, 1.5175014459169924, SimArray(349572785.3464014, 'Msol'), SimArray(4726606257.29518, 'Msol'), SimArray(43383114087.07538, 'Msol')
23, 101863727, 3.457268367157652, 1.8984746967755104, 1538600.2943601969, 0.033123380426544752, SimArray(67541095.46599872, 'Msol'), SimArray(705523343.2628894, 'Msol'), SimArray(6759968077.728412, 'Msol')
4, 101863565, 4.282191751544393, 1.4999377911455287, 5716437.2643040139, 0.60806435251118196, SimArray(621401086.9297917, 'Msol'), SimArray(5071926726.981052, 'Msol'), SimArray(57096362912.12228, 'Msol')
4, 101863727, 4.282191751544393, 1.4999377911455287, 1553568.301270271, 10.951954697230667, SimArray(621401086.9297917, 'Msol'), SimArray(5071926726.981052, 'Msol'), SimArray(57096362912.12228, 'Msol')
4, 101863565, 4.319229127986117, 1.4849745850044922, 5718308.2927999282, 0.66175474065055195, SimArray(629855003.1710293, 'Msol'), SimArray(5058919640.614423, 'Msol'), SimArray(57273129599.045166, 'Msol')
4, 101863727, 4.319229127986117, 1.4849745850044922, 1553718.8412520427, 8.4703939451774346, SimArray(629855003.1710293, 'Msol'), SimArray(5058919640.614423, 'Msol'), SimArray(57273129599.045166, 'Msol')
3, 101863565, 4.750209508400877, 1.324818705657913, 5758537.6160345096, 0.00089352508495284288, SimArray(713895717.8036757, 'Msol'), SimArray(4670204111.768477, 'Msol'), SimArray(56000567862.07488, 'Msol')
3, 101863727, 4.750209508400877, 1.324818705657913, 1560003.9407553321, 1.1243672496921577, SimArray(713895717.8036757, 'Msol'), SimArray(4670204111.768477, 'Msol'), SimArray(56000567862.07488, 'Msol')
3, 101863565, 5.868064870101596, 0.9997720460692914, 5899379.816601852, 0.68468931901564389, SimArray(818999824.6353515, 'Msol'), SimArray(4702994828.569576, 'Msol'), SimArray(58933577368.44783, 'Msol')
3, 101863727, 5.868064870101596, 0.9997720460692914, 1575753.8271302038, 0.7691712440391042, SimArray(818999824.6353515, 'Msol'), SimArray(4702994828.569576, 'Msol'), SimArray(58933577368.44783, 'Msol')
4, 101863565, 6.9051114104699325, 0.7749321181873075, 6011179.074606549, 0.00080155544583108691, SimArray(899600203.9839975, 'Msol'), SimArray(4848548491.870081, 'Msol'), SimArray(63724049804.19458, 'Msol')
4, 101863727, 6.9051114104699325, 0.7749321181873075, 1584504.3780530267, 0.72224688528182124, SimArray(899600203.9839975, 'Msol'), SimArray(4848548491.870081, 'Msol'), SimArray(63724049804.19458, 'Msol')
4, 101863565, 7.03979277934896, 0.7495549592684039, 6023671.461463959, 0.0026111229464200175, SimArray(911286470.1656271, 'Msol'), SimArray(4891646703.368551, 'Msol'), SimArray(64376240402.74785, 'Msol')
4, 101863727, 7.03979277934896, 0.7495549592684039, 1588613.3900665026, 0.42063667088064638, SimArray(911286470.1656271, 'Msol'), SimArray(4891646703.368551, 'Msol'), SimArray(64376240402.74785, 'Msol')
4, 101863565, 8.198052551708965, 0.558262425038407, 6148403.8944665249, 0.2581831352624584, SimArray(981372489.2793384, 'Msol'), SimArray(4925332093.252397, 'Msol'), SimArray(69153766359.79826, 'Msol')
4, 101863727, 8.198052551708965, 0.558262425038407, 1603780.0169084738, 0.58295208756316541, SimArray(981372489.2793384, 'Msol'), SimArray(4925332093.252397, 'Msol'), SimArray(69153766359.79826, 'Msol')
4, 101863565, 9.060013312533592, 0.4405242606013957, 6241697.5665181288, 0.00096929986417682858, SimArray(1056038393.7787609, 'Msol'), SimArray(4856397509.674875, 'Msol'), SimArray(70036427985.14485, 'Msol')
4, 101863727, 9.060013312533592, 0.4405242606013957, 1613512.0619855809, 0.64687274745739431, SimArray(1056038393.7787609, 'Msol'), SimArray(4856397509.674875, 'Msol'), SimArray(70036427985.14485, 'Msol')
4, 101863565, 9.49099369294634, 0.3877106574697988, 7883935.7960386323, 0.28084498510829264, SimArray(1093660243.8089147, 'Msol'), SimArray(4409772404.466696, 'Msol'), SimArray(59533105002.44675, 'Msol')
